0,0,255,255,45,70
27,42,157,30,44,23
19,26,255,32,44,17
25,27,154,31,68,17
33,41,174,31,68,23
33,32,232,29,77,18
58,49,174,28,59,25
61,51,180,28,27,23
30,27,215,26,60,15
59,53,245,24,84,28
53,51,153,23,84,25
52,45,255,22,79,19
63,61,255,255,84,85
88,100,255,255,100,100
89,100,255,63,100,55
63,81,255,60,84,46
53,68,37,58,33,40
21,32,32,53,13,24
14,15,31,35,26,29
21,21,30,52,18,20
42,29,29,48,29,22
36,17,28,45,13,16
20,29,28,43,11,21
13,15,29,41,10,12
12,13,30,41,15,25
17,21,30,41,28,17
15,14,255,41,69,16
46,42,129,39,46,25
100,100,134,37,94,48
88,80,205,32,65,39
79,100,255,30,92,47
84,100,255,255,88,100
74,97,255,28,94,37
84,92,95,84,90,56
67,84,255,70,88,50
84,100,255,64,100,54
69,84,255,51,88,45
78,86,255,45,86,43
61,82,50,37,38,40
55,69,46,32,30,35
44,49,45,27,30,25
41,40,104,24,27,21
22,21,102,23,32,13
10,9,36,22,12,8
7,6,102,23,27,7
8,7,102,22,26,7
0,0,255,73,78,30
57,66,255,68,82,43
66,69,255,70,84,87
87,100,255,255,96,100
84,95,255,31,95,45
90,100,255,255,62,100
76,100,92,255,86,100
62,100,117,255,50,100
55,80,255,42,76,42
61,82,114,41,51,41
43,44,107,65,41,28
38,48,102,62,37,31
61,60,99,59,45,32
42,43,95,53,37,30
22,29,92,51,43,23
54,55,88,49,43,33
43,50,83,46,38,79
52,73,83,37,41,37
42,49,255,28,79,25
79,81,254,22,87,37
76,80,230,23,90,37
96,95,106,23,100,43
67,71,255,37,100,37
64,77,206,35,90,38
77,86,228,31,84,41
46,48,255,28,37,25
36,32,251,23,38,18
20,24,255,44,18,19
21,24,46,46,69,69
43,52,49,255,69,31
36,51,255,34,70,22
65,59,202,34,82,30
57,56,199,32,82,27
41,50,234,32,51,27
75,100,170,255,68,100
69,100,136,255,58,100
75,89,232,64,88,50
61,76,38,61,37,44
31,36,31,57,19,27
22,24,30,55,16,22
31,36,29,53,19,26
26,31,29,52,16,24
22,24,28,57,14,21
22,31,28,45,15,22
30,32,29,44,18,22
42,48,131,42,52,28
56,64,121,51,54,37
52,65,117,255,47,86
70,100,239,31,68,48
57,63,93,29,48,30
0,0,255,255,77,86
71,100,199,22,60,45
61,77,217,21,79,34
65,82,224,22,80,38
89,100,255,117,93,67
84,100,137,72,45,57
38,54,255,60,70,35
51,61,255,52,86,41
68,85,236,21,82,39
56,66,138,22,82,31
64,70,211,42,77,37
51,56,120,255,47,82
80,100,118,37,55,100
65,77,231,27,87,36
39,49,109,32,43,25
35,41,104,46,38,23
27,37,99,41,33,21
21,23,96,40,31,18
13,13,93,40,25,20
10,11,90,44,25,64
43,64,86,38,36,86
39,47,138,28,37,25
47,51,228,23,62,25
70,80,255,25,89,38
67,100,30,24,87,100
41,57,255,22,27,27
32,33,191,22,27,18
17,19,28,46,67,15
20,19,136,255,58,67
28,49,255,23,71,76
19,31,210,43,68,23
35,38,244,43,84,24
54,61,255,46,78,84
95,100,255,35,54,100
100,100,255,255,100,100
88,100,255,255,67,100
100,100,255,255,72,100
100,100,255,255,100,56
100,100,255,22,100,100
100,100,255,128,100,100
100,100,255,255,100,100
100,100,255,67,56,100
100,100,255,50,100,52
73,75,16,38,89,39
39,55,7,32,13,29
23,27,30,30,16,17
38,40,56,28,22,22
17,18,61,27,18,13
50,46,58,26,30,18
14,13,59,25,18,10
0,0,41,121,14,34
57,58,255,117,76,50
76,78,255,109,89,57
100,100,255,255,100,65
82,100,255,255,96,100
100,94,255,255,100,49
65,98,255,255,83,99
56,95,8,255,22,77
54,96,255,96,82,100
100,100,255,255,100,100
76,100,255,22,95,100
68,89,226,22,58,38
89,100,255,255,91,100
85,100,255,74,57,100
79,73,63,69,47,50
68,69,255,51,89,40
82,100,80,37,56,50
49,51,255,30,76,32
48,43,71,23,42,22
19,19,66,23,23,12
11,13,63,25,18,10
9,11,63,23,17,9
15,16,62,25,20,11
14,17,60,28,19,12
11,12,60,26,18,10
15,16,59,33,20,13
14,15,58,29,17,14
42,38,255,45,73,24
67,72,255,47,86,39
100,97,255,43,100,50
100,100,255,61,100,54
94,100,29,81,37,100
86,100,255,255,92,100
91,100,255,255,88,100
33,48,221,45,69,29
25,21,31,43,18,17
34,34,255,42,70,74
91,81,159,38,69,40
78,100,148,69,66,57
62,74,140,59,55,40
55,71,134,57,52,37
45,48,127,49,47,31
34,35,255,46,39,22
43,59,63,40,44,33
30,30,62,37,22,72
24,23,113,33,24,16
26,25,109,33,37,17
30,31,106,23,37,21
42,70,102,23,40,88
62,100,87,23,45,100
53,90,82,22,41,41
28,29,238,21,74,15
62,56,213,23,81,33
100,90,158,30,54,42
60,92,255,29,37,86
34,35,255,38,76,23
81,77,255,35,91,38
100,100,255,30,100,47
100,100,255,32,100,47
100,100,255,53,100,52
95,100,255,255,97,100
78,100,189,98,34,52
46,41,30,23,19,60
28,32,7,37,6,16
18,22,29,36,12,16
51,44,255,39,89,25
75,100,255,37,70,100
92,79,139,34,94,38
73,100,137,255,89,100
97,100,172,30,100,100
82,100,255,25,100,45
100,95,255,104,95,60
62,77,173,90,82,52
100,91,255,83,100,56
100,100,255,74,99,58
76,82,171,73,57,91
56,81,87,64,42,91
71,84,255,53,88,46
84,79,133,173,99,47
59,65,255,62,82,41
38,37,98,53,39,27
24,23,72,49,27,19
31,27,138,50,78,21
50,70,255,38,50,38
65,60,136,40,84,33
67,70,232,30,82,35
74,76,255,36,86,37
75,88,255,255,88,59
79,99,28,230,40,96
57,99,160,92,26,100
