12,10,101,22,27,8
16,16,103,22,29,11
13,14,8,22,6,10
17,18,224,23,69,12
26,35,103,255,32,74
27,42,102,116,35,43
15,17,103,107,30,31
24,37,102,108,33,39
44,100,102,109,34,57
23,36,103,109,34,39
18,22,105,108,31,33
17,22,255,255,31,34
87,55,108,164,100,81
47,50,173,255,82,80
41,39,255,255,75,76
65,51,255,255,78,80
34,38,255,255,76,75
35,40,255,255,74,75
49,36,100,53,37,40
17,18,98,64,28,19
17,22,255,255,63,69
33,43,107,255,38,77
26,36,106,255,34,74
28,42,105,255,34,76
20,32,106,105,31,37
22,24,231,255,67,70
9,12,24,31,8,11
13,16,25,30,10,12
13,13,25,33,9,10
14,15,200,22,9,12
8,8,27,21,50,7
17,14,26,21,10,9
11,12,27,22,12,9
14,15,110,22,31,11
13,14,255,22,12,11
23,64,211,25,65,28
59,100,214,27,83,42
22,44,28,255,17,21
39,46,27,27,22,77
40,42,27,255,15,22
43,47,255,255,97,79
42,40,255,255,78,76
40,38,255,32,99,39
100,51,255,100,71,42
87,52,255,255,99,42
84,47,255,32,98,25
38,41,255,32,73,23
54,39,114,31,81,22
30,100,112,31,37,47
32,96,111,95,35,43
16,15,103,33,30,16
17,15,94,49,27,18
14,13,86,107,25,10
15,17,76,106,22,30
27,50,67,255,26,79
24,31,63,84,22,32
50,58,255,255,77,82
36,38,216,25,59,21
14,16,16,230,9,66
19,29,11,175,8,52
13,22,12,172,14,49
14,22,25,22,12,13
22,19,198,13,60,10
25,22,221,13,68,11
26,20,187,14,68,11
43,26,165,11,65,12
25,25,26,255,13,15
16,22,7,255,7,46
17,23,39,168,16,48
13,19,48,159,16,45
17,24,255,76,66,45
24,20,255,166,25,67
47,37,29,138,75,18
25,24,56,22,70,69
15,15,27,132,13,66
45,31,30,85,70,32
19,21,171,161,67,13
34,29,255,88,73,49
45,100,72,85,74,77
48,100,77,83,77,77
31,53,77,74,51,36
43,36,79,68,73,30
22,19,151,63,28,23
58,30,255,56,58,24
83,33,149,47,69,21
84,40,148,33,23,21
60,29,96,23,51,17
35,26,32,21,39,14
46,33,215,21,74,17
100,30,26,21,41,17
83,37,27,14,12,18
14,15,26,21,10,10
13,12,26,22,25,9
19,16,255,95,73,72
34,37,255,88,35,33
21,20,255,85,38,28
47,38,126,89,47,35
30,30,124,149,42,47
28,32,123,147,38,46
24,30,74,148,27,46
32,37,122,148,41,49
38,80,122,148,45,61
34,44,121,150,43,59
38,72,120,149,45,62
33,44,120,149,44,75
26,28,119,255,38,45
27,37,119,151,39,49
28,30,119,150,38,47
21,25,117,153,65,45
32,44,118,255,41,77
66,39,117,255,54,51
28,37,116,152,38,49
27,30,114,154,36,72
25,29,108,255,35,49
